,Name,Address,City,State,Zip,rating
146,BELLAGREEN HEIGHTS,748 EAST 11TH ST,HOUSTON,TX,77008,3
147,BELLAGREEN SUGAR LAND,15903 CITY WALK,SUGAR LAND,TX,77479,3
148,BARLEY CREEK BREWING COMPANY,1774 SULLIVAN TRAIL,TANNERSVILLE,PA,18372,3
149,CEDRIC'S TAVERN AT THE BILTMORE ESTATE,1 APPROACH ROAD,ASHEVILLE,NC,28803,3
150,RIDGEWELLS CATERING,5525 DORSEY LANE,BETHESDA,MD,20816,2
151,BOSTON UNIVERSITY FRESH FOOD CO. AT MARCIANO COMMONS,100 BAY STATE ROAD,BOSTON,MA,2215,4
152,GOLDMAN SACHS 200 WEST CAFE,200 WEST STREET,NEW YORK,NY,10282,3
153,FARMERS FISHERS BAKERS,3000 K ST NW,WASHINGTON,DC,20007,3
154,WEST END AT NORTHEASTERN UNIVERSITY,"CURRY STUDENT CENTER, 364 HUNTINGTON AVE",BOSTON,MA,2115,3
155,STARBUCKS AT NORTHEASTERN UNIVERSITY,"CURRY STUDENT CENTER, 364 HUNTINGTON AVE",BOSTON,MA,2115,2
156,ON THE GO AT NORTHEASTERN UNIVERSITY,"CURRY STUDENT CENTER, 364 HUNTINGTON AVE",BOSTON,MA,2115,2
157,SWEET TOMATOES AT NORTHEASTERN UNIVERSITY,"CURRY STUDENT CENTER, 364 HUNTINGTON AVE",BOSTON,MA,2115,2
158,KIGO KITCHEN AT NORTHEASTERN UNIVERSITY,"CURRY STUDENT CENTER, 364 HUNTINGTON AVE",BOSTON,MA,2115,2
159,UBURGER AT NORTHEASTERN UNIVERSITY,"CURRY STUDENT CENTER, 364 HUNTINGTON AVE",BOSTON,MA,2115,2
160,POPEYE'S AT NORTHEASTERN UNIVERSITY,"CURRY STUDENT CENTER, 364 HUNTINGTON AVE",BOSTON,MA,2115,1
161,ARGO TEA AT NORTHEASTERN UNIVERSITY,"SNELL LIBRARY, 376 HUNTINGTON AVE",BOSTON,MA,2115,2
162,SUBWAY AT NORTHEASTERN UNIVERSITY,"RYDER HALL, 11 LEON ST.",BOSTON,MA,2115,1
163,CAFE716 AT NORTHEASTERN UNIVERSITY,716 COLUMBUS AVE,BOSTON,MA,2120,2
