,Name,Address,City,State,Zip,rating
420,FARMERS & DISTILLERS,"600 MASSACHUSETTS AVE., NW",WASHINGTON,DC,20001,3
421,OUTPOST GRILL AT CALIFORNIA STATE UNIVERSITY - LONG BEACH,6049 EAST 7TH STREET,LONG BEACH,CA,90840,1
422,NUGGET GRILL & PUB AT CALIFORNIA STATE UNIVERSITY - LONG BEACH,6049 EAST 7TH STREET,LONG BEACH,CA,90840,1
423,THE PARK SCHOOL,171 GODDARD AVE,BROOKLINE,MA,2445,1
424,EAST CAMPUS DINING HALL AT JAMES MADISON UNIVERSITY,"1681 CARRIER DR, BUILDING 209",HARRISONBURG,VA,22807,1
425,BAMBOO SUSHI LOHI,2715 17TH ST.,DENVER,CO,80211,3
426,QUICKFISH POKE BAR,1122 SW STARK STREET,PORTLAND,OR,97205,3
427,24/7 DINING HALL AT UNIVERSITY OF OTTAWA,85 UNIVERSITY (345),OTTAWA,ONTARIO,K1N 6N5,3
428,"SAMSUNG ELECTRONICS AMERICA, INC. 85 CHALLENGER RD., NJ",85 CHALLENGER ROAD,RIDGEFIELD PARK,NJ,7660,1
429,OPA! GREEK AT CALIFORNIA STATE UNIVERSITY - LONG BEACH,6049 EAST 7TH STREET,LONG BEACH,CA,90840,1
430,BEACH WALK AT CALIFORNIA STATE UNIVERSITY - LONG BEACH,6049 EAST 7TH STREET,LONG BEACH,CA,90840,1
431,CARLSBAD CAVERNS TRADING CAFE,727 CARLSBAD CAVERN HWY,CARLSBAD,NM,88220,2
432,GREEN RIVER GRILL AT THE LODGE AT MAMMOTH CAVE,1 MAMMOTH CAVE PKWY,MAMMOTH CAVE,KY,42259,3
433,SPELUNKER'S CAFE  & ICE CREAM PARLOR AT THE LODGE AT MAMMOTH CAVE,1 MAMMOTH CAVE PKWY,MAMMOTH CAVE,KY,42259,3
434,HENRY FORD MUSEUM - MICHIGAN CAFE,20900 OAKWOOD BOULEVARD,DEARBORN,MI,48124,1
435,HENRY FORD CATERING,20900 OAKWOOD BOULEVARD,DEARBORN,MI,48124,1
436,A TASTE OF HISTORY,20900 OAKWOOD BOULEVARD,DEARBORN,MI,48124,1
437,REBECCA'S CAFES & CATERING,1601 TRAPELO ROAD,WALTHAM,MA,2451,2
438,PARTNERS KITCHEN,399 REVOLUTION DRIVE,SOMERVILLE,MA,2145,3
439,SOUTHSIDE CAFE AT WASHINGTON STATE UNIVERSITY,1395 SE STADIUM WAY,PULLMAN,WA,99164,1
440,NORTHSIDE CAFE AT WASHINGTON STATE UNIVERSITY,1580 NE COUGAR WAY,PULLMAN,WA,99164,1
441,HILLSIDE CAFE AT WASHINGTON STATE UNIVERSITY,725 NE THATUNA ST.,PULLMAN,WA,99164,1
442,THE MORTON ARBORETUM GINGKO RESTAURANT,4100 ILLINOIS ROUTE 53,LISLE,IL,60532,2
443,CLASS OF 1953 COMMONS AT DARTMOUTH COLLEGE,6 MASS ROW,HANOVER,NH,3755,3
444,COLLIS CAFE AT DARTMOUTH COLLEGE,2 NORTH MAIN ST.,HANOVER,NH,3755,1
445,COURTYARD CAFE AT DARTMOUTH COLLEGE,2 EAST WHEELOCK ST.,HANOVER,NH,3755,2
446,NOVACK CAFE AT DARTMOUTH COLLEGE,25 NORTH MAIN ST.,HANOVER,NH,3755,1
447,DINING SERVICES FOOD TRUCK AT DARTMOUTH COLLEGE,2 EAST WHEELOCK ST.,HANOVER,NH,3755,1
448,ENGRAINED CAFE AT ARIZONA STATE UNIVERSITY,1290 S. NORMAL AVENUE #138,TEMPE,AZ,85281,1
449,BROWN DINING HALL AT UNC ASHEVILLE,"1 UNIVERSITY HEIGHTS, CPO 1300",ASHEVILLE,NC,28804,3
450,TOSS AT KENNEDY UNION AT UNIVERSITY OF DAYTON,300 COLLEGE PARK DRIVE,DAYTON,OH,45469,3
451,MARYCREST AT UNIVERSITY OF DAYTON,300 COLLEGE PARK DRIVE,DAYTON,OH,45469,3
452,THE GRAINARY AT UNIVERSITY OF DAYTON,300 COLLEGE PARK DRIVE,DAYTON,OH,45469,3
453,THE EMPORIUM AT UNIVERSITY OF DAYTON,300 COLLEGE PARK DRIVE,DAYTON,OH,45469,3
454,BROWN STREET BISTRO AT UNIVERSITY OF DAYTON,1529 BROWN STREET,DAYTON,OH,45469,2
455,CATERING/RIVERVIEW CAFE AT UNIVERSITY OF DAYTON,300 COLLEGE PARK DRIVE,DAYTON,OH,45469,2
456,EL TOVAR DINING ROOM,1 EL TOVAR ROAD,GRAND CANYON,AZ,86023,3
457,BLU RESTAURANT AT ADMIRALS COVE,200 ADMIRALS COVE BLVD,JUPITER,FL,33477,1
458,GOLF VILLAGE BISTRO RESTAURANT AT ADMIRALS COVE,200 ADMIRALS COVE BLVD,JUPITER,FL,33477,1
459,MARINA CAFE RESTAURANT AT ADMIRALS COVE,200 ADMIRALS COVE BLVD,JUPITER,FL,33477,1
460,BANQUETS & CATERING AT ADMIRALS COVE,200 ADMIRALS COVE BLVD,JUPITER,FL,33477,1
461,THE CHATTOOGA CLUB,1 PAVILION WAY,CASHIERS,NC,28717,1
462,YELLOWSTONE NATIONAL PARK,1 OLD FAITHFUL ROAD,YELLOWSTONE NATIONAL PARK,WY,82190,1
463,UVA - FRESH FOOD COMPANY,180 MCCORMICK ROAD,CHARLOETTESVILLE,VA,22094,3
464,CHAO CENTER AT HARVARD BUSINESS SCHOOL,SOLDIERS FIELD,BOSTON,MA,2163,4
465,DUCHESNE ACADEMY OF THE SACRED HEART,10202 MEMORIAL DRIVE,HOUSTON,TX,77478,1
466,HARVARD SWING DORM & KITCHEN,1201 MASSACHUSETTS AVENUE,CAMBRIDGE,MA,2139,3
467,AROOGA'S ROUTE 22 NP,1250 ROUTE 22 EAST,NORTH PLAINFIELD,NJ,7060,1
468,GENTLE HARVEST,8372 WEST MAIN STREET,MARSHALL,VA,20115,4
469,JIMMY'S FAMOUS AMERICAN TAVERN SANTA MONICA,1733 OCEAN AVENUE,SANTA MONICA,CA,90401,1
470,FOUNDING FARMERS KING OF PRUSSIA,255 MAIN STREET,KING OF PRUSSIA,PA,19406,3
471,FOUNDING FARMERS RESTON,1904 METRO DRIVE PLAZA,RESTON,VA,20194,3
472,POLY PREP COUNTRY DAY SCHOOL,9216 SEVENTH AVENUE,BROOKLYN,NY,11228,1
473,BEAR REPUBLIC BREWING COMPANY,345 HEALDSBURG AVENUE,HEALDSBURG,CA,95448,1
474,MCDONALD'S AT RIVER ROAD,5214 RIVER ROAD,BETHESDA,MD,20816,1
475,GRANT GENERAL STORE FOUNTAIN AT YELLOWSTONE NATIONAL PARK,2 GRANT VILLAGE ROAD,YELLOWSTONE NATIONAL PARK,WY,82190,1
476,FISHING BRIDGE GENERAL STORE FOUNTAIN AT YELLOWSTONE NATIONAL PARK,1 EAST ENTRANCE ROAD,YELLOWSTONE NATIONAL PARK,WY,82190,1
477,CANYON GENERAL STORE FOUNTAIN AT YELLOWSTONE NATIONAL PARK,2 CANYON VILLAGE ROAD,YELLOWSTONE NATIONAL PARK,WY,82190,2
478,BRUIN CAFE AT UCLA,350 DE NEV DRIVE,LOS ANGELES,CA,90095,3
479,CENTRAL DINER,,,,,1
480,DUNKIN' ARRIVALS,,,,,1
481,TIGIN IRISH PUB,,,,,1
482,PEET'S A,,,,,1
483,CANAL STREET,,,,,1
484,DUNKIN'/JETBOX FC,,,,,1
485,CAVIAR HOUSE,,,,,1
486,FLATIRON COFFEE,,,,,1
487,CAMDEN FOOD CO.,,,,,1
488,LE GRAND COMPTOIR,,,,,1
489,FIVE BOROUGH FOOD HALL-MANGO TACO TRUCK,,,,,1
490,PALM,,,,,1
491,DUNKIN'/JETBOX B20,,,,,1
492,SHAKE SHACK B23,,,,,1
493,MCDONALD'S,,,,,1
494,JETBOX B23,,,,,1
495,BENTO SUSHI,,,,,1
496,PEET'S B26,,,,,1
497,BUFFALO WILD WINGS,,,,,1
498,JAMBA JUICE,,,,,1
499,PIZZA VINO,,,,,1
500,UPTOWN BRASSERIE,,,,,1
501,CAKE TIN,,,,,1
502,LA BREA,,,,,1
503,SHAKE SHACK B37,,,,,1
504,BLUE SMOKE,,,,,1
505,CAMDEN EXPRESS,,,,,1
506,URBAN CRAVE,,,,,1
507,FIVE BOROUGH FOOD HALL-CANAL STREET NOODLE HOUSE,,,,,1
508,FIVE BOROUGH FOOD HALL-GLOBAL SANDWICH,,,,,1
509,FIVE BOROUGH FOOD HALL-DROMOS,,,,,1
510,FIVE BOROUGH FOOD HALL-APOTHECARY BAR,,,,,1
511,STARBUCKS STUDENT UNION - SAN DIEGO STATE UNIVERSITY,AZTEC SHOPS,SAN DIEGO,CA,92182,2
512,HEALTHY LIVING CAFE,1500 NW 136TH STREET,SUNRISE,FL,33323,2
513,KINDLEVAN CAFE AT TUFTS UNIVERSITY,200 COLLEGE AVENUE,MEDFORD,MA,,3
515,SUNY PURCHASE STARBUCKS,735 ANDERSON HILL ROAD,PURCHASE,NY,10577,1
516,AROOGA'S ROUTE 1,228 WASHINGTON STREET,ATTLEBORO,MA,2703,1
517,THE PEAKS,64740 WUKSACHI WAY,SEQUOIA NATIONAL PARK,CA,93262,3
518,GRANT GROVE RESTAURANT,86728 HIGHWAY 180,KINGS CANYON NATIONAL PARK,CA,93633,3
519,BELLAGREEN VINTAGE,"10111 LOUETTA ROAD, SUITE 500",HOUSTON,TX,77070,3
520,GRANDVIEW YARD CAFE,1000 YARD STREET,GRANDVIEW HEIGHTS,OH,43212,3
521,THE COMMONS AT GUTMAN LIBRARY,6 APPIAN WAY,CAMBRIDGE,MA,2138,3
522,OUT OF DOOR ACADEMY,5950 DEER DRIVE,SARASOTA,FL,34240,1
523,M OSTERIA,611 MONROE STREET,TOLEDO,OH,43604,1
524,MOODY TOWERS DINING COMMONS AT UNIVERSITY OF HOUSTON,4401 COUGAR VILLAGE DRIVE,HOUSTON,TX,77204,1
525,COUGAR WOODS DINING COMMONS AT UNIVERSITY OF HOUSTON,4277 WHEELER AVENUE,HOUSTON,TX,77004,1
526,REYNOLDS CROSSROADS CAFE,231 FOREST STREET,BABSON PARK,MA,2457,2
527,RAIDER'S CAFE,21 SUTTON LANE,PISCATAWAY,NJ,8854,1
528,HARVARD LAW SCHOOL CAFES,1563 MASSACHUSETTS AVENUE,CAMBRIDGE,MA,2138,3
529,KONDITOREI BAKERY & CAFE AT SUN VALLEY RESORT,1 SUN VALLEY ROAD,SUN VALLEY,ID,83353,3
530,STARBUCKS AT PRICE CENTER AT UCSD,9500 GILMAN DRIVE,LA JOLLA,CA,92093,1
531,SEAQUAKE BREWING,400 FRONT STREET,CRESCENT CITY,CA,95531,1
532,BARCADE ST. MARK'S,6 ST. MARKS PLACE,NEW YORK,NY,10003,3
533,CAFELEVEN AT UNITEDHEALTH GROUP,11000 OPTUM CIRCLE,EDEN PRAIRIE,MN,55344,3
534,DUB'S CAFE,601 S. COLLEGE ROAD,WILMINGTON,NC,28405,3
535,AROOGA'S ROUTE 18,"1031 ROUTE 18, UNIT 1",EAST BRUNSWICK,NJ,8816,1
536,SHALLCROSS HALL DINING AREA,1101 CITY AVENUE,WYNNEWOOD,PA,19096,3
537,VILLAGE CORNER CALIFORNIA BISTRO,CORNER OF 6TH & DOLORES STREET,CARMEL-BY-THE-SEA,CA,93921,2
538,AROOGA'S ROUTE 463-WINTER PARK,227 SOUTH SEMORAN BOULEVARD,WINTER PARK,FL,32722,1
539,ANNA'S FIRE,2234 EAST GRAND AVENUE,LINDENHURST,IL,60046,1
540,BEANS & BAGELS,2601 W LELAND AVE,CHICAGO,IL,60625,3
541,AROOGA'S ROUTE 100 ALLENTOWN,327 STAR ROAD,ALLENTOWN,PA,18106,1
542,EGNER LODGE AT THE PRINCETON-BLAIRSTOWN CENTER,158 MILLBROOK ROAD,BLAIRSTOWN,NJ,7825,3
543,THE WORKS CAFE-KNH,120 MAIN STREET,KEENE,NH,3431,3
544,SADDLE RIVER CAFE,171 EAST SADDLE RIVER ROAD,SADDLE RIVER,NJ,7458,1
545,LENOIR DINING,LENOIR HALL,UNIVERSITY,MS,38677,1
546,ONE STATE STREET CAFE,ONE STATE STREET,HARTFORD,CT,6103,3
547,SHIPLEY COMMONS DINING,814 YARROW STREET,BRYN MAWR,PA,19010,3
548,COMCAST CENTER-RALPH'S CAFE ON 43 & 44,1701 JFK BOULEVARD,PHILADELPHIA,NY,10573,2
549,COMCAST CENTER-THE ATRIUM CAFE,1701 JFK BOULEVARD,PHILADELPHIA,PA,19103,1
550,COMCAST CENTER-THE COFFEE BAR ON 43,1701 JFK BOULEVARD,PHILADELPHIA,PA,19103,2
551,COMCAST CENTER CATERING,1701 JFK BOULEVARD,PHILADELPHIA,PA,19103,1
552,LODGEPOLE CAFE,64740 WUKSACHI WAY,SEQUOIA NATIONAL PARK,CA,93262,1
553,AEDR,18850 NORTH 56TH STREET,PHOENIX,AZ,85054,1
554,BARCADE NEW YORK,148 WEST 24TH STREET,NEW YORK,NY,10001,3
555,HEALTHY LIVING CAFE AT AMERICAN EXPRESS TORONTO,"2225 SHEPERD AVENUE, EAST","NORTH YORK, ONTARIO",CANADA,M2J 5C2,1
556,JUICE GENERATION ASTOR PLACE,4 ASTOR PLACE,NEW YORK,NY,,1
557,AROOGA'S SHELTON,405 BRIDGEPORT AVENUE,SHELTON,CT,,1
558,THE PURPLE PIG,500 NORTH MICHIGAN AVENUE,CHICAGO,IL,60611,1
559,WING TIPS LOUNGE,JFK INTERNATIONAL AIRPORT,JAMAICA,NY,11430,1
560,ARIZONA ROOM RESTAURANT,10 ALBRIGHT STREET,GRAND CANYON,AZ,86023,3
561,YAVAPAI LODGE RESTAURANT,11 YAVAPAI ROAD,GRAND CANYON,AZ,86023,3
562,YAVAPAI LODGE TAVERN,11 YAVAPAI ROAD,GRAND CANYON,AZ,86023,3
563,CANYON VILLAGE MARKET DELI,"1 MATHER BUSINESS CENTER, P.O. BOX 159",GRAND CANYON,AZ,86023,3
564,DESERT VIEW DELI,915 DESERT VIEW ROAD,GRAND CANYON,AZ,86023,1
565,DESERT VIEW COFFEE AND ICE CREAM,909 DESERT VIEW ROAD,GRAND CANYON,AZ,86023,1
566,SAM'S CAFE,12100 SAMSUNG BLVD,AUSTIN,TX,78754,1
567,CAFE 300,12100 SAMSUNG BLVD,AUSTIN,TX,78754,1
568,TRC-N CAFE,19640 N. 31ST AVE,PHOENIX,AZ,85027,1
569,NORTH DINING HALL,213 SOUTH DINING HALL,NOTRE DAME,IN,46556,2
570,19515-THE 459 COMMONS,THE 459 COMMONS,BATON ROUGE,LA,70803,3
571,CYPRESS CAFE,6200 HERMANN PARK DRIVE,HOUSTON,TX,77030,2
572,VISITOR'S CENTER GARDEN CAFE,5105 KENNETT PIKE,WILMINGTON,DE,19735,1
573,BURTON DINING HALL,1501 LAKESIDE DRIVE,LYNCHBURG,VA,24501,1
574,1ST AVENUE COFFEE,1011 WEST 1ST AVENUE,SPOKANE,WA,99201,1
575,NORTH END RETAIL,3399 NORTH ROAD,POUGHKEEPSIE,NY,12601,2
576,PETER GZOWSKI COLLEGE,255 EAST BANK DRIVE,"PETERBOROUGH, ONTARIO",,K9L 1Z8,1
577,BARCADE JERSEY CITY,163 NEWARK AVENUE,JERSEY CITY,NJ,7302,3
578,BARCADE NEWARK,494 BROAD STREET,NEWARK,NJ,7102,2
579,AROOGA'S ROCKVILLE CENTER,47 NORTH VILLAGE AVENUE,ROCKVILLE CENTER,NY,11570,1
580,PUBLIC GREENS BROAD RIPPLE,902 EAST 64TH STREET,INDIANAPOLIS,IN,46220,1
581,RAVEN CAFE,142 NORTH CORTEZ STREET,PRESCOTT,AZ,86301,3
582,WOK THIS WAY FOOD TRUCK,220 SOUTH PINEVIEW PLACE,CHANDLER,AZ,85226,1
583,SEASONAL CATERING,500 BIC DRIVE,MILFORD,CT,6460,1
584,OSPREY CAFE,1 UNF DRIVE,JACKSONVILLE,FL,32224,3
585,SOVI DINING HALL,9201 UNIVERSITY CITY BOULEVARD,CHARLOTTE,NC,28223,3
586,CROWN COMMONS,9201 UNIVERSITY CITY BOULEVARD,CHARLOTTE,NC,28223,3
587,THE RIVER CAFE,3500 SUNRISE HWY - STE 100,GREAT RIVER,NY,11739-,1
588,CAFE 1919,330 DE NEV DRIVE,LOS ANGELES,CA,90095,1
589,THE STUDY AT HEDRICK AT UCLA,250 DE NEV DRIVE,LOS ANGELES,CA,90095,3
590,MCEWEN DINING HALL,101 WILLIAMSON AVENUE,ELON,NC,27244,1
591,ETATS-UNIS BISTRO,DOLORES STREET BETWEEN 5TH + 6TH AVE,CARMEL,CA,93921,1
592,HAVERFORD COLLEGE DINING CENTER,370 LANCASTER AVENUE,HAVERFORD,PA,19041,1
593,50 BURGER,445 EAST HIGHWAY 50,SALIDA,CO,81201,3
594,KASBAH LOUNGE,2115 J STREET,SACRAMENTO,CA,95816,1
595,DINING COMMONS,50 COLLEGE STREET,SOUTH HADLEY,MA,1075,1
596,GRAB 'N GO,50 COLLEGE STREET,SOUTH HADLEY,MA,1075,1
597,COCHARY PUB & KITCHEN,50 COLLEGE STREET,SOUTH HADLEY,MA,1075,1
598,WILLITS-HALLOWELL CONFERENCE CENTER,26 PARK STREET,SOUTH HADLEY,MA,1075,1
599,ENGRAINED DOWNTOWN AT ARIZONA STATE UNIVERSITY,550 N. 3RD STREET #110,PHOENIX,AZ,85281,1
600,LADY EATON COLLEGE DINING HALL,1600 WEST BANK DRIVE,"PETERBOROUGH, ONTARIO",,K9L 0G2,1
601,THE SCHOOL IN ROSE VALLEY DINING,20 SCHOOL LANE,ROSE VALLEY,PA,19063,1
602,THE LIBRARY CAFE,3054 DIVARTY ST,SEASIDE,CA,93955,1
