,name,green_rating
64,16TH STREET SPORTS BAR & GRILL,1
93,1905 EATERY,2
618,ABE & MARY'S,2
51,15 NORTH ROADSIDE KITCHEN,2
640,ABSOLUTE ORGANICS,2
168,3 COINS OPEN KITCHEN,2
628,ABOUT CHEESE,2
15,1 HAWAIIAN BARBECUE,1
32,101 BOTTLES OF BEER ON THE WALL,2
181,3 RAVENS FOOD & SPIRITS,2
678,ACES GRILLE - NORTH RIDGEVILLE,2
682,ACME BURGER COMPANY,1
691,ACR HOT ROTI & DOUBLES,2
432,9 THAI KITCHEN,2
800,AGO,1
532,A THYME FOR ALL SEASONS,1
880,AJ'S MONGOLIAN BBQ,1
924,AKASHIRO,1
561,A-OK COFFEE,2
914,AKABANE SUSHI,2
136,24 KARROT KITCHEN,2
401,806 MARTINI AND WINE BAR,2
341,61B CAFE,2
97,1918 TAP & TABLE,2
511,A SLICE ABOVE,1
182,3 REGIONS VIETNAMESE KITCHEN,1
252,424 WALNUT,1
966,AL MADINA HALAL FAMILY RESTAURANT,2
373,"720 MUSIC, CLOTHING AND CAFE",2
619,ABE'S OF SCOTTSDALE DELI RESTAURANT,1
396,8 SUSHI,1
433,90 NINETY BAR + GRILL,1
141,24/7 LIMOUSINES,1
812,AGUA WATER STORE,2
492,A LADYBUG BAKERY & CAFE,1
472,A CAFETERIA BY MORRISON FARMS,2
446,99 BOTTLES,1
329,5TH AVENUE DELI & GRILL,1
430,9 ON THE PLATE,2
440,93 HARBORD,2
864,AIRSPACE LOUNGE,1
80,1847 WINE AND BEER BISTRO,2
281,5 POINTS COFFEE & TEA,2
558,A-GAME CAFE,1
588,AANCH MODERNIST INDIAN CUISINE,1
527,A TASTE OF SAIGON RESTAURANT,2
661,ACCORDS LE BISTRO,2
71,17TH STREET CAFE,1
843,AIELLO'S PIZZERIA,1
18,1 POT,1
570,A1 SWEETS & RESTAURANT,2
755,AF1 CARIBBEAN CANTEEN,1
606,ABC CAKE DECORATING SUPPLIES,1
540,A WEDDING CHAPEL,1
221,39 SPICES,1
520,A TASTE OF CAROLINA,2
198,31ST STREET PUB,2
673,ACE'S PLACE BAR GRILL HUB,2
757,AFANDI RESTAURANT AND MARKET,1
67,17 STEAKHOUSE AND BAR,1
992,AL'S DELI,1
879,AJ'S INCA PERUVIAN RESTAURANT,2
732,ADESSO CAFE,2
87,1890 AT THE ARCADE,2
150,2601 ON CENTRAL,1
998,AL'S GYRO'S,1
522,A TASTE OF GREECE FESTIVAL,2
869,AIX EN PROVENCE,1
145,24TH STREET PIZZA & GYROS,1
239,4 SONS FOOD STORES,1
112,2 GREEK GALS,2
391,8 1/2 ULTRA LOUNGE,2
579,AA WHOLESOME BAKERY,2
383,7GRAINS BAKERY & CAFÉ,2
925,AKCO LOUNGE,2
82,1865 COFFEE,2
929,AKIBA KISSA MANGA CAFE,1
245,40/40 CLUB,1
379,75TH THAI TASTE RESTAURANT,1
4,#1BROTHERS PIZZA,1
949,AKWABA,2
395,8 SEASONS GRILLE,1
279,5 O'CLOCK SOMEWHERE BAR,1
906,AJS BURGER PERUVIAN RESTAURANT,2
994,AL'S DONUTS & CAFE BURGER,1
763,AFGHAN CUISINE,1
3,#1 SUSHI,1
303,520 SUSHI,1
200,32 DEGREES,2
147,25 LIBERTY,2
1,#1 HAWAIIAN BARBECUE,1
39,12 O' LUNCH,2
324,5S17,2
839,AIELLI RISTORANTE,2
13,1 BROTHERS PIZZA,1
