,business_id,categories,name,review_count,stars,address,city,state,postal_code,latitude,longitude,Name,Address,City,State,Zip,rating
934,WM-GwMbxySCxh1XzPgAjMA,"BURGERS, RESTAURANTS, FAST FOOD",MCDONALD'S,7,3.5,100 CITY CENTRE DRIVE,MISSISSAUGA,ON,L5B 2C9,43.5942662569,-79.64083671569999,MCDONALD'S,,,,,1
935,_tJ1mf_KEL4sx5fh9DTtTw,"BURGERS, FOOD, RESTAURANTS, FAST FOOD, COFFEE & TEA",MCDONALD'S,15,2.0,4020 MILWAUKEE ST,MADISON,WI,53704,43.09893228470001,-89.31483848959999,MCDONALD'S,,,,,1
936,tG5ecpa0xJM7MQCkhg3iBg,"RESTAURANTS, BURGERS, FAST FOOD",MCDONALD'S,3,1.0,3065 BOULEVARD DES SOURCES,DOLLARD-DES-ORMEAUX,QC,H9B 1Z6,45.482059201000006,-73.7929281732,MCDONALD'S,,,,,1
937,p5fIV1nSmjYOvodcV-aDiQ,"RESTAURANTS, FAST FOOD, BURGERS, COFFEE & TEA, FOOD",MCDONALD'S,36,2.0,3185 S ALMA SCHOOL,CHANDLER,AZ,85248,33.2597189709,-111.85776382680001,MCDONALD'S,,,,,1
938,uVlkwXY-ExbHJZErtaIlzA,"FOOD, RESTAURANTS, COFFEE & TEA, FAST FOOD, BURGERS",MCDONALD'S,4,2.0,1175 S ARIZONA AVE,CHANDLER,AZ,85286,33.2892014,-111.8378246,MCDONALD'S,,,,,1
939,MrLmI5f5fythtRDR3X7XKg,"BURGERS, FAST FOOD, RESTAURANTS",MCDONALD'S,19,2.5,9291 HIGHWAY 48,MARKHAM,ON,L6E 1A3,43.8943167203,-79.2638093233,MCDONALD'S,,,,,1
940,hi2EpaTqR9Wx-aj05-eyfg,"BURGERS, RESTAURANTS, FAST FOOD",MCDONALD'S,26,2.5,675 YONGE STREET,TORONTO,ON,M4Y 1T2,43.6688655,-79.38588850000002,MCDONALD'S,,,,,1
941,IOh3JJfKeauQ7SudTrc8mQ,"FAST FOOD, BURGERS, RESTAURANTS",MCDONALD'S,33,2.5,1125 SHEPPARD AVENUE E,NORTH YORK,ON,M2K 1C5,43.769845792299996,-79.3705994629,MCDONALD'S,,,,,1
942,BPWZRoeUQaKg5jAqLGkbMw,"FOOD, FAST FOOD, RESTAURANTS, BURGERS, COFFEE & TEA",MCDONALD'S,24,2.0,400 E WATERFRONT DR,HOMESTEAD,PA,15120,40.412055,-79.90993900000002,MCDONALD'S,,,,,1
943,wSJflDkXz9BPxiqElNe0jw,"RESTAURANTS, FOOD, FAST FOOD, BURGERS, COFFEE & TEA",MCDONALD'S,6,2.5,6083 ANDREWS RD,MENTOR,OH,44060,41.7058947193,-81.3606771827,MCDONALD'S,,,,,1
944,3tYUoa6fOerRek-Pv9tQVw,"FAST FOOD, BURGERS, RESTAURANTS",MCDONALD'S,9,1.5,10 THE QUEENSWAY,TORONTO,ON,M6R 1B4,43.6388471,-79.44646170000001,MCDONALD'S,,,,,1
945,N3CDEpX-3T5_ULMB6otPWA,"CHINESE, RESTAURANTS, COMFORT FOOD, CHICKEN WINGS, FOOD",PARTNERS KITCHEN,3,3.5,1784 JANE STREET,TORONTO,ON,M9N,43.7062007,-79.50468640000003,PARTNERS KITCHEN,399 REVOLUTION DRIVE,SOMERVILLE,MA,2145,3
946,Gvox18F9QxsSS9qG2O8E-A,"MEDITERRANEAN, RESTAURANTS, BREAKFAST & BRUNCH, DINERS",SAM'S CAFE,94,4.0,115 N WALNUT ST,CHAMPAIGN,IL,61820,40.1169816,-88.24266709999998,SAM'S CAFE,12100 SAMSUNG BLVD,AUSTIN,TX,78754,1
947,0HwrX6P6lh92F0f-A_QzjA,"RESTAURANTS, TEX-MEX",SAM'S CAFE,26,3.5,"2566 E CAMELBACK RD, STE 201",PHOENIX,AZ,85016,33.5095991,-112.0260037,SAM'S CAFE,12100 SAMSUNG BLVD,AUSTIN,TX,78754,1
948,Lrn9Yk5dmLrYJMVvQT_CHw,"RESTAURANTS, PIZZA, SANDWICHES, ITALIAN",STRADA,8,4.0,800 LANGDON ST,MADISON,WI,53703,43.0762598,-89.4000038,STRADA,27 BROADWAY ST,ASHEVILLE,NC,28801,3
949,pH72Y8aqqJlq3bgtj-d3UA,"ITALIAN, RESTAURANTS",THE GREAT IMPASTA,26,3.0,156 C LINCOLN SQUARE,URBANA,IL,61801,40.1112419,-88.2072116,THE GREAT IMPASTA,42 MAINE ST,BRUNSWICK,ME,4011,3
950,GIfZNMP0oIJCje_Xp0Bgrw,"BREAKFAST & BRUNCH, FRENCH, GASTROPUBS, AMERICAN (NEW), RESTAURANTS",THE GREENHOUSE TAVERN,1005,3.5,2038 E 4TH ST,CLEVELAND,OH,44115,41.499074,-81.690421,THE GREENHOUSE TAVERN,2038 E. 4TH ST.,CLEVELAND,OH,44115,3
951,SN0-O-CuIsyZf3LGZVEUAw,"SUSHI BARS, JAPANESE, RESTAURANTS",THE SUSHI BAR,16,4.0,3369 YONGE STREET,TORONTO,ON,M4N 2M6,43.73184970000001,-79.4035568,THE SUSHI BAR,414 RAILROAD AVE,MCCALL,ID,83638,3
952,qGL7Z0yVXET7GTq-mNyQmQ,"RESTAURANTS, SUSHI BARS, JAPANESE",THE SUSHI BAR,37,4.0,3365 YONGE STREET,TORONTO,ON,M4N 2M4,43.7317132,-79.4039303,THE SUSHI BAR,414 RAILROAD AVE,MCCALL,ID,83638,3
953,3dwk97qMHAMH12VqTGuRqw,"RESTAURANTS, JAPANESE, SEAFOOD, FOOD, SUSHI BARS",THE SUSHI BAR,8,4.0,13750 BOW BOTTOM TRAIL SE,CALGARY,AB,T2J 6T5,50.93076470000001,-114.0320398,THE SUSHI BAR,414 RAILROAD AVE,MCCALL,ID,83638,3
954,uKyKWo9Jvoa7X0SNpRqVVw,"SANDWICHES, LOCAL FLAVOR, RESTAURANTS",URBAN CRAVE,32,2.5,975 BOULVEARD ROMÉO-VACHON N,DORVAL,QC,H4Y 1H1,45.457421,-73.752978,URBAN CRAVE,,,,,1
955,9n8jDTvkOjoH3fD_Y9KC1g,"RESTAURANTS, NIGHTLIFE, SPORTS BARS, BARS, CANADIAN (NEW), FOOD STANDS",URBAN CRAVE,63,2.5,6301 SILVER DART DRIVE,MISSISSAUGA,ON,L5P 1B2,43.6856152,-79.62053990000003,URBAN CRAVE,,,,,1
